country code,country,année,gini
USA,United States,2004.0,40.3
PAK,Pakistan,2004.0,32.5
MEX,Mexico,2004.0,50.0
CHL,Chile,2004.0,
EGY,"Egypt, Arab Rep.",2004.0,31.8
PRT,Portugal,2004.0,38.9
CZE,Czech Republic,2004.0,27.5
CHN,China,2004.0,
USA,United States,2006.0,
PAK,Pakistan,2006.0,
MEX,Mexico,2006.0,48.9
CHL,Chile,2006.0,47.3
EGY,"Egypt, Arab Rep.",2006.0,
PRT,Portugal,2006.0,38.1
CZE,Czech Republic,2006.0,26.7
CHN,China,2006.0,
USA,United States,2007.0,40.8
PAK,Pakistan,2007.0,31.6
MEX,Mexico,2007.0,
CHL,Chile,2007.0,
EGY,"Egypt, Arab Rep.",2007.0,
PRT,Portugal,2007.0,36.8
CZE,Czech Republic,2007.0,26.0
CHN,China,2007.0,
USA,United States,2008.0,
PAK,Pakistan,2008.0,
MEX,Mexico,2008.0,49.9
CHL,Chile,2008.0,
EGY,"Egypt, Arab Rep.",2008.0,31.1
PRT,Portugal,2008.0,36.6
CZE,Czech Republic,2008.0,26.3
CHN,China,2008.0,43.0
USA,United States,2009.0,
PAK,Pakistan,2009.0,
MEX,Mexico,2009.0,
CHL,Chile,2009.0,47.0
EGY,"Egypt, Arab Rep.",2009.0,
PRT,Portugal,2009.0,34.9
CZE,Czech Republic,2009.0,26.2
CHN,China,2009.0,
USA,United States,2010.0,40.0
PAK,Pakistan,2010.0,29.8
MEX,Mexico,2010.0,47.2
CHL,Chile,2010.0,
EGY,"Egypt, Arab Rep.",2010.0,30.2
PRT,Portugal,2010.0,35.8
CZE,Czech Republic,2010.0,26.6
CHN,China,2010.0,43.7
USA,United States,2011.0,
PAK,Pakistan,2011.0,30.9
MEX,Mexico,2011.0,
CHL,Chile,2011.0,46.0
EGY,"Egypt, Arab Rep.",2011.0,
PRT,Portugal,2011.0,36.3
CZE,Czech Republic,2011.0,26.4
CHN,China,2011.0,42.4
